speechID,session,nameOfHouse,nameOfMeeting,issue,date,year,speaker,speakerYomi,speakerGroup,speakerPosition,speakerRole,speechURL,meetingURL,pdfURL,keywords_matched,num_keywords,parties_canonical_str,has_joe_party
120114324X00220200219_036,201,参議院,国民生活・経済に関する調査会,第2号,2020-02-19,2020,竹内真二,たけうちしんじ,公明党,,,https://kokkai.ndl.go.jp/txt/120114324X00220200219/36,https://kokkai.ndl.go.jp/txt/120114324X00220200219,https://kokkai.ndl.go.jp/img/120114324X00220200219/11,多文化共生,1,公明党,True
120114324X00220200219_044,201,参議院,国民生活・経済に関する調査会,第2号,2020-02-19,2020,高木かおり,たかぎかおり,日本維新の会,,,https://kokkai.ndl.go.jp/txt/120114324X00220200219/44,https://kokkai.ndl.go.jp/txt/120114324X00220200219,https://kokkai.ndl.go.jp/img/120114324X00220200219/13,多文化共生,1,日本維新の会,True
120114324X00220200219_047,201,参議院,国民生活・経済に関する調査会,第2号,2020-02-19,2020,山脇啓造,,,明治大学国際日本学部教授,参考人,https://kokkai.ndl.go.jp/txt/120114324X00220200219/47,https://kokkai.ndl.go.jp/txt/120114324X00220200219,https://kokkai.ndl.go.jp/img/120114324X00220200219/13,多文化共生,1,,False
120114324X00220200219_049,201,参議院,国民生活・経済に関する調査会,第2号,2020-02-19,2020,南野奈津子,,,東洋大学ライフデザイン学部教授,参考人,https://kokkai.ndl.go.jp/txt/120114324X00220200219/49,https://kokkai.ndl.go.jp/txt/120114324X00220200219,https://kokkai.ndl.go.jp/img/120114324X00220200219/14,多文化共生,1,,False
120114324X00220200219_057,201,参議院,国民生活・経済に関する調査会,第2号,2020-02-19,2020,岩渕友,いわぶちとも,日本共産党,,,https://kokkai.ndl.go.jp/txt/120114324X00220200219/57,https://kokkai.ndl.go.jp/txt/120114324X00220200219,https://kokkai.ndl.go.jp/img/120114324X00220200219/14,多文化共生,1,日本共産党,True
120114324X00220200219_058,201,参議院,国民生活・経済に関する調査会,第2号,2020-02-19,2020,山脇啓造,,,明治大学国際日本学部教授,参考人,https://kokkai.ndl.go.jp/txt/120114324X00220200219/58,https://kokkai.ndl.go.jp/txt/120114324X00220200219,https://kokkai.ndl.go.jp/img/120114324X00220200219/14,多文化共生,1,,False
120114324X00220200219_079,201,参議院,国民生活・経済に関する調査会,第2号,2020-02-19,2020,加田裕之,かだひろゆき,自由民主党・国民の声,,,https://kokkai.ndl.go.jp/txt/120114324X00220200219/79,https://kokkai.ndl.go.jp/txt/120114324X00220200219,https://kokkai.ndl.go.jp/img/120114324X00220200219/17,多文化共生,1,自由民主党;国民の声,True
120114324X00220200219_081,201,参議院,国民生活・経済に関する調査会,第2号,2020-02-19,2020,加田裕之,かだひろゆき,自由民主党・国民の声,,,https://kokkai.ndl.go.jp/txt/120114324X00220200219/81,https://kokkai.ndl.go.jp/txt/120114324X00220200219,https://kokkai.ndl.go.jp/img/120114324X00220200219/17,多文化共生,1,自由民主党;国民の声,True
120114324X00220200219_086,201,参議院,国民生活・経済に関する調査会,第2号,2020-02-19,2020,石垣のりこ,いしがきのりこ,立憲・国民．新緑風会・社民,,,https://kokkai.ndl.go.jp/txt/120114324X00220200219/86,https://kokkai.ndl.go.jp/txt/120114324X00220200219,https://kokkai.ndl.go.jp/img/120114324X00220200219/18,多文化共生,1,立憲;国民民主党;新緑風会;社会民主党,True
120004889X00720191209_002,200,衆議院,内閣委員会,第7号,2019-12-09,2019,松本文明,まつもとふみあき,自由民主党・無所属の会,,,https://kokkai.ndl.go.jp/txt/120004889X00720191209/2,https://kokkai.ndl.go.jp/txt/120004889X00720191209,https://kokkai.ndl.go.jp/img/120004889X00720191209/1,多文化共生,1,自由民主党;無所属の会,True
120004773X00420191119_069,200,衆議院,地方創生に関する特別委員会,第4号,2019-11-19,2019,高橋文昭,,,内閣官房まち・ひと・しごと創生本部事務局次長,,https://kokkai.ndl.go.jp/txt/120004773X00420191119/69,https://kokkai.ndl.go.jp/txt/120004773X00420191119,https://kokkai.ndl.go.jp/img/120004773X00420191119/10,多文化共生,1,,False
120005206X00720191113_107,200,衆議院,法務委員会,第7号,2019-11-13,2019,稲富修二,いなとみしゅうじ,立憲民主・国民・社保・無所属フォーラム,,,https://kokkai.ndl.go.jp/txt/120005206X00720191113/107,https://kokkai.ndl.go.jp/txt/120005206X00720191113,https://kokkai.ndl.go.jp/img/120005206X00720191113/14,多文化共生,1,立憲民主党;国民民主党;社保;無所属フォーラム,True
120015206X00320191112_192,200,参議院,法務委員会,第3号,2019-11-12,2019,嘉田由紀子,かだゆきこ,碧水会,,,https://kokkai.ndl.go.jp/txt/120015206X00320191112/192,https://kokkai.ndl.go.jp/txt/120015206X00320191112,https://kokkai.ndl.go.jp/img/120015206X00320191112/23,多文化共生,1,碧水会,False
120015206X00320191112_193,200,参議院,法務委員会,第3号,2019-11-12,2019,森まさこ,もりまさこ,自由民主党・国民の声,法務大臣,,https://kokkai.ndl.go.jp/txt/120015206X00320191112/193,https://kokkai.ndl.go.jp/txt/120015206X00320191112,https://kokkai.ndl.go.jp/img/120015206X00320191112/24,多文化共生,1,自由民主党;国民の声,True
120005206X00620191108_143,200,衆議院,法務委員会,第6号,2019-11-08,2019,藤野保史,ふじのやすふみ,日本共産党,,,https://kokkai.ndl.go.jp/txt/120005206X00620191108/143,https://kokkai.ndl.go.jp/txt/120005206X00620191108,https://kokkai.ndl.go.jp/img/120005206X00620191108/19,多文化共生,1,日本共産党,True
120005206X00520191106_007,200,衆議院,法務委員会,第5号,2019-11-06,2019,森まさこ,もりまさこ,自由民主党・国民の声,法務大臣,,https://kokkai.ndl.go.jp/txt/120005206X00520191106/7,https://kokkai.ndl.go.jp/txt/120005206X00520191106,https://kokkai.ndl.go.jp/img/120005206X00520191106/2,多文化共生,1,自由民主党;国民の声,True
120005124X00220191030_024,200,衆議院,文部科学委員会,第2号,2019-10-30,2019,馳浩,はせひろし,自由民主党・無所属の会,,,https://kokkai.ndl.go.jp/txt/120005124X00220191030/24,https://kokkai.ndl.go.jp/txt/120005124X00220191030,https://kokkai.ndl.go.jp/img/120005124X00220191030/8,多文化共生,1,自由民主党;無所属の会,True
120005206X00220191023_093,200,衆議院,法務委員会,第2号,2019-10-23,2019,山川百合子,やまかわゆりこ,立憲民主・国民・社保・無所属フォーラム,,,https://kokkai.ndl.go.jp/txt/120005206X00220191023/93,https://kokkai.ndl.go.jp/txt/120005206X00220191023,https://kokkai.ndl.go.jp/img/120005206X00220191023/13,多文化共生,1,立憲民主党;国民民主党;社保;無所属フォーラム,True
120005206X00220191023_255,200,衆議院,法務委員会,第2号,2019-10-23,2019,串田誠一,くしだせいいち,日本維新の会,,,https://kokkai.ndl.go.jp/txt/120005206X00220191023/255,https://kokkai.ndl.go.jp/txt/120005206X00220191023,https://kokkai.ndl.go.jp/img/120005206X00220191023/30,多文化共生,1,日本維新の会,True
120004889X00120191018_000,200,衆議院,内閣委員会,第1号,2019-10-18,2019,会議録情報,,,,,https://kokkai.ndl.go.jp/txt/120004889X00120191018/0,https://kokkai.ndl.go.jp/txt/120004889X00120191018,https://kokkai.ndl.go.jp/img/120004889X00120191018/1,多文化共生,1,,False
119904889X00120190805_000,199,衆議院,内閣委員会,第1号,2019-08-05,2019,会議録情報,,,,,https://kokkai.ndl.go.jp/txt/119904889X00120190805/0,https://kokkai.ndl.go.jp/txt/119904889X00120190805,https://kokkai.ndl.go.jp/img/119904889X00120190805/1,多文化共生,1,,False
119904889X00120190805_002,199,衆議院,内閣委員会,第1号,2019-08-05,2019,牧原秀樹,まきはらひでき,自由民主党・無所属の会,,,https://kokkai.ndl.go.jp/txt/119904889X00120190805/2,https://kokkai.ndl.go.jp/txt/119904889X00120190805,https://kokkai.ndl.go.jp/img/119904889X00120190805/2,多文化共生,1,自由民主党;無所属の会,True
