year,Japan,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,0.01612317914140838,0.027330094883552005,0.011450381679389313,0.02475800446760983,0.07267482763472632,0.0032414910858995136,-0.005149662053427744,0.05043741224754293,0.010778845773505795,0.021271645561205837,0.024040212719458002,0.046238703381560525,0.031509718260474016,0.03425435420557186,0.021160464284392694,0.009288868585350997,-0.020885241096291952,-0.006089122612787158,-0.04204228814948369,-0.027244926327495134,-0.024694853403800177,-0.016849034395570863,-0.024381730508189727,0.009378986579578507,0.0015392150003498215,-0.003909871417630699,0.0032632063882063883,0.0031138089803628348,-0.0064118397760487425,0.002424351261560564,0.022793990675185633,-0.010387636179376741,0.008020415603353991,-0.0004769172071728348,0.004955247113763134,-0.008002964060763246,0.004216020879341498,0.028150296000966534,-0.007973048848961257,0.014201183431952662,0.0577442087112977,0.006192660550458716,0.09685827959939636,0.06399560922063666,-0.004642712959224869,0.033212121212121214,0.019946176982744975,0.08443215652913653
2014-01-01,0.02680255220922889,0.03999292942684166,0.01660377358490566,0.03487738419618529,0.06735751295336788,-0.024771136241249325,-0.008249757360077645,0.05377339091096031,0.017649245700197623,0.04722231262407654,0.04284935145004861,0.055136502992846365,0.04559569307658386,0.057953604689154364,0.03433530829301879,0.01652082076041038,-0.0011975151560511938,0.019029054116773414,0.0025665155274189407,-0.00042869391254644185,-0.008225010482856497,-0.0017958097771865647,-0.004664290352074416,0.014483741810240232,-0.0011177086971707998,-0.016874393007445775,-0.001014043546473807,0.0020890442867581072,-0.00011394122704343233,-0.007434611250447868,0.001857166976194496,-0.014592933947772658,0.08282097649186257,0.014886916690523905,0.02855225113589426,-0.012549488309554045,-0.001999200319872051,0.05123384253819036,0.05161874575503735,0.03996499416569428,0.02230806031504155,0.0031912468657396852,0.0375234521575985,0.039822552357371296,0.037720543500304196,0.03566400750821211,0.04501008846810492,0.10109825455971759
2015-01-01,0.05201073978087793,0.09169711906178295,0.050482553823311065,0.03598385114972793,0.08811601327270493,-0.0016565433462175593,0.0047300603490458325,0.07834910722997365,0.04010844276952066,0.06911554478214929,0.05509572968302333,0.07351720321003598,0.07616135522928363,0.07447673095588611,0.05144869144799075,0.04371057513914657,0.04698388909704009,0.051375478229185645,0.050174929601501835,0.017012151536812008,0.02292832054117341,0.019967128642501778,0.012860280902615989,0.043244482317003285,0.0031237615684080473,0.01325375591685532,0.026085457644647883,0.028387987100373383,0.02170309748264788,0.00036097825106037363,0.02275025278058645,0.03013769810340348,0.10220440881763528,0.054960037611659615,0.07672807589980422,0.0496255389968984,0.004006410256410256,0.09378493181310082,0.10645855758880517,0.045722300140252456,0.04716098169717138,0.046353101567825496,0.32356841470765524,0.06826074015279293,0.03312487785811999,0.04576347983688265,0.0726273577899896,0.15103749220767654
2016-01-01,0.06748218900818882,0.12365716954694068,0.07608951707891637,0.06319891562182312,0.09069347187711768,0.021847345132743362,0.03538961038961039,0.0919290626131017,0.07555226915611424,0.06546131038893088,0.08230426068403698,0.0918685913960016,0.08648013128781261,0.08242784160161822,0.06481959693228707,0.04742605233219568,0.07729745204695104,0.08620689655172414,0.02437637117087836,0.04863649142535845,0.03274727370997997,0.055353526555320866,0.04935529238574677,0.07199870074659304,0.04373591131974623,0.04959987000853069,0.02867008866075595,0.03572720178160154,0.029779467680608365,0.03031123139377537,0.027022573735376504,0.048171500630517027,0.07878787878787878,0.07607290877490085,0.07338166390824961,0.06255855855855856,0.09257781324820431,0.09586101175268268,0.07208872458410351,0.07215665236051502,0.07582302994190376,0.1298588490770901,0.06885873030330632,0.08312436147487694,0.05447838834767805,0.1048526863084922,0.10135696482968706,0.10522243713733076
2017-01-01,0.07513192340846274,0.12258824344452526,0.12105954465849388,0.05609561752988048,0.05648752200476338,0.02652232746955345,0.05409219190968956,0.07532316871063971,0.09124815234952391,0.08844873683636165,0.09790919952210275,0.09678921343598756,0.09954836140105658,0.07312817195542193,0.06647508879165123,0.07657321295227751,0.12596332713260697,0.10688362447156417,0.09796144998810184,0.04798927613941019,0.05107286888526306,0.05290415763953368,0.07718322561250564,0.082673867322568,0.09496136975931245,0.05948602833036613,0.04587106022391174,0.04970228250082699,0.039886965597369095,0.043779003589878296,0.027915931333226375,0.05510105871029836,0.12935393258426967,0.07446367928435352,0.06560687992703108,0.05582310248931696,0.029766252739225712,0.08514408281264571,0.06578947368421052,0.08381285964473355,0.10832641004338595,0.10609263886219489,-0.12927141031103537,0.1646372834848225,0.07839268095793345,0.13392156862745097,0.1442041740005029,0.10934546727336367
2018-01-01,0.066063638436004,0.1385768945939274,0.12985744971685217,0.08450279161007998,0.05925018377848566,0.04798312681254943,0.09579056968615202,0.09355012714803113,0.044573246601880584,0.04391417685983557,0.05591526561111414,0.08082154922419206,0.0665673396301207,0.05634769731089373,0.07070865140571284,0.0899173970616054,0.09487845173471796,0.11371333861785689,0.09189423493714781,0.027948324379636735,0.06982602073692226,0.08183581884810598,0.07512965417800414,0.07397377540353448,0.05915246655008337,0.10155251141552511,0.05869289890525512,0.04656547353309348,0.04158578962817078,0.0637530408522775,0.041985328546901825,0.06134549600912201,0.15333913692326825,0.08533765032377429,0.06248471508926388,0.06584864448156239,0.07696400070934563,0.08258851839119973,0.024946785866326097,0.057248384118190214,0.06947625591693388,0.1211120764552563,0.01477784302211783,0.1468119570019143,0.07718539466023455,0.14490748746325435,0.1588836391605318,0.13743926295197828
2019-01-01,0.07397917244121675,0.1513862164286295,0.10369858278603526,0.13677473215528035,0.10974368464883871,0.09534591194968553,0.09379666078457988,0.09639912620675076,0.07243557847438971,0.050038417210910485,0.05958433527997252,0.08453657295227979,0.07339578874521012,0.045208695483709614,0.07438820531089858,0.0911773213769164,0.06973485665014012,0.09226787447428017,0.046910149530236867,0.06881104958626268,0.05256529595356732,0.090589620505389,0.08316118495765691,0.077412704252123,0.08645151381342754,0.12515337423312883,0.06473075284323687,0.07018020768423298,0.05159765465206127,0.10014983045501144,0.0738466147393649,0.08336914482165879,0.007332326935518654,0.12113786490517793,0.09137990562780528,0.0784160086794045,0.08546023382183435,0.13249186314201794,0.1247715567369995,0.08449781659388646,0.08338092518560822,0.14181649101053936,0.06037226347767383,0.15190035952747818,0.0872519496563972,0.18562150732517746,0.15814923674978668,0.17725381414701802
2020-01-01,-0.015690027434790806,-0.08850182417323761,-0.03460695270905105,-0.04749082007343941,-0.04569332110397732,-0.030776297657326597,-0.02879126334077935,-0.03316408509544315,0.01633743409490334,-0.0019436568188054514,0.01718296616900906,0.011181220446534688,0.013855723769043413,-0.05607473485908017,-0.012379215501226443,-0.05858650124595727,-0.024886649874055415,-0.06451039630353653,0.02104531378373254,-0.003143372722510041,-0.04983613379805441,-0.013769391754974587,-0.005182330151375964,-0.026209928401973302,-0.010743947693938858,-0.0014147189719708804,-0.05042172012559256,-0.008128365651402535,-0.007563904184784018,0.002437101283062146,0.01436741526014786,-0.018445061483538278,-0.0019267822736030828,-0.008109221071304127,-0.019614046187915218,-0.034261122289291304,0.005309466019417476,-0.006448899481284172,-0.0043574593796159525,-0.027179383933964164,-0.02870561173144199,-0.03407085652232931,-0.09458844929513416,-0.010645412997436184,-0.06143029614373979,-0.014522292993630573,-0.0009005321326238232,-0.06508011310084826
2021-01-01,-0.04380876972037147,-0.062207876049063915,-0.07656123276561233,-0.07440246723207401,-0.07868064657055483,-0.041469194312796206,-0.04523383593151035,-0.061357441999601144,-0.01613014788274517,-0.027882786904025476,-0.012812953194473219,-0.005675082603980124,-0.02636119011028481,-0.05185654611017887,-0.020704111982989055,-0.046181572426222124,-0.057811531308121514,-0.06496960486322188,-0.008789304283238425,0.002218978102189781,-0.023460169723514918,-0.045135321757582905,-0.02299531260978229,-0.03135683604593402,-0.03013468614911936,-0.012484873527936011,-0.053909491701244816,-0.03016776064362092,-0.024963852063481003,-0.008008580622095102,-0.019251925192519254,-0.08486562942008487,0.008687258687258687,-0.05997509021812027,-0.09280771575060055,-0.08137044967880086,-0.08042854987173684,-0.07979398899393256,-0.11727616645649433,-0.06870860927152318,-0.059675350305900925,-0.08558178752107926,-0.09773982923154194,-0.05999661990873754,-0.10116525423728813,-0.093717683557394,-0.030399868895444118,-0.06572911941126065
