period,period_date,pref_code,prefecture,status_code,residence_status,n_residents,is_unknown_pref
2016-12,2016-12-31,04,宮城県,16,技術・人文知識・国際業務,812,False
2016-12,2016-12-31,04,宮城県,17,企業内転勤,88,False
2016-12,2016-12-31,04,宮城県,19,興行,16,False
2016-12,2016-12-31,04,宮城県,20,技能,226,False
2016-12,2016-12-31,04,宮城県,23,技能実習１号イ,71,False
2016-12,2016-12-31,04,宮城県,24,技能実習１号ロ,1370,False
2016-12,2016-12-31,04,宮城県,25,技能実習２号イ,1,False
2016-12,2016-12-31,04,宮城県,26,技能実習２号ロ,1397,False
2016-12,2016-12-31,04,宮城県,29,文化活動,59,False
2016-12,2016-12-31,04,宮城県,31,留学,4637,False
2016-12,2016-12-31,04,宮城県,32,研修,8,False
2016-12,2016-12-31,04,宮城県,33,家族滞在,1288,False
2016-12,2016-12-31,04,宮城県,34,特定活動,121,False
2016-12,2016-12-31,04,宮城県,35,永住者,4955,False
2016-12,2016-12-31,04,宮城県,36,日本人の配偶者等,975,False
2016-12,2016-12-31,04,宮城県,37,永住者の配偶者等,106,False
2016-12,2016-12-31,04,宮城県,38,定住者,402,False
2016-12,2016-12-31,04,宮城県,39,特別永住者,1918,False
2016-12,2016-12-31,05,秋田県,03,教授,54,False
2016-12,2016-12-31,05,秋田県,04,芸術,1,False
2016-12,2016-12-31,05,秋田県,05,宗教,6,False
2016-12,2016-12-31,05,秋田県,07,高度専門職１号イ,4,False
2016-12,2016-12-31,05,秋田県,08,高度専門職１号ロ,1,False
2016-12,2016-12-31,05,秋田県,11,経営・管理,19,False
2016-12,2016-12-31,05,秋田県,15,教育,111,False
2016-12,2016-12-31,05,秋田県,16,技術・人文知識・国際業務,96,False
2016-12,2016-12-31,05,秋田県,17,企業内転勤,5,False
2016-12,2016-12-31,05,秋田県,19,興行,5,False
2016-12,2016-12-31,05,秋田県,20,技能,68,False
2016-12,2016-12-31,05,秋田県,23,技能実習１号イ,6,False
2016-12,2016-12-31,05,秋田県,24,技能実習１号ロ,317,False
2016-12,2016-12-31,05,秋田県,25,技能実習２号イ,3,False
2016-12,2016-12-31,05,秋田県,26,技能実習２号ロ,443,False
2016-12,2016-12-31,05,秋田県,29,文化活動,3,False
2016-12,2016-12-31,05,秋田県,31,留学,373,False
2016-12,2016-12-31,05,秋田県,32,研修,2,False
2016-12,2016-12-31,05,秋田県,33,家族滞在,143,False
2016-12,2016-12-31,05,秋田県,34,特定活動,29,False
2016-12,2016-12-31,05,秋田県,35,永住者,1285,False
2016-12,2016-12-31,05,秋田県,36,日本人の配偶者等,225,False
2016-12,2016-12-31,05,秋田県,37,永住者の配偶者等,16,False
2016-12,2016-12-31,05,秋田県,38,定住者,79,False
2016-12,2016-12-31,05,秋田県,39,特別永住者,401,False
2016-12,2016-12-31,06,山形県,03,教授,17,False
2016-12,2016-12-31,06,山形県,05,宗教,18,False
2016-12,2016-12-31,06,山形県,07,高度専門職１号イ,3,False
2016-12,2016-12-31,06,山形県,08,高度専門職１号ロ,2,False
2016-12,2016-12-31,06,山形県,11,経営・管理,23,False
2016-12,2016-12-31,06,山形県,13,医療,17,False
2016-12,2016-12-31,06,山形県,15,教育,98,False
2016-12,2016-12-31,06,山形県,16,技術・人文知識・国際業務,171,False
2016-12,2016-12-31,06,山形県,17,企業内転勤,15,False
2016-12,2016-12-31,06,山形県,19,興行,7,False
2016-12,2016-12-31,06,山形県,20,技能,73,False
2016-12,2016-12-31,06,山形県,23,技能実習１号イ,39,False
2016-12,2016-12-31,06,山形県,24,技能実習１号ロ,580,False
2016-12,2016-12-31,06,山形県,25,技能実習２号イ,30,False
2016-12,2016-12-31,06,山形県,26,技能実習２号ロ,662,False
2016-12,2016-12-31,06,山形県,29,文化活動,11,False
2016-12,2016-12-31,06,山形県,31,留学,296,False
2016-12,2016-12-31,06,山形県,32,研修,16,False
2016-12,2016-12-31,06,山形県,33,家族滞在,181,False
2016-12,2016-12-31,06,山形県,34,特定活動,37,False
2016-12,2016-12-31,06,山形県,35,永住者,3158,False
2016-12,2016-12-31,06,山形県,36,日本人の配偶者等,430,False
2016-12,2016-12-31,06,山形県,37,永住者の配偶者等,25,False
2016-12,2016-12-31,06,山形県,38,定住者,175,False
2016-12,2016-12-31,06,山形県,39,特別永住者,294,False
2016-12,2016-12-31,07,福島県,03,教授,46,False
2016-12,2016-12-31,07,福島県,05,宗教,14,False
2016-12,2016-12-31,07,福島県,07,高度専門職１号イ,5,False
2016-12,2016-12-31,07,福島県,11,経営・管理,39,False
2016-12,2016-12-31,07,福島県,13,医療,1,False
2016-12,2016-12-31,07,福島県,14,研究,8,False
2016-12,2016-12-31,07,福島県,15,教育,197,False
2016-12,2016-12-31,07,福島県,16,技術・人文知識・国際業務,488,False
2016-12,2016-12-31,07,福島県,17,企業内転勤,52,False
2016-12,2016-12-31,07,福島県,19,興行,15,False
2016-12,2016-12-31,07,福島県,20,技能,172,False
2016-12,2016-12-31,07,福島県,23,技能実習１号イ,96,False
2016-12,2016-12-31,07,福島県,24,技能実習１号ロ,1213,False
2016-12,2016-12-31,07,福島県,25,技能実習２号イ,8,False
2016-12,2016-12-31,07,福島県,26,技能実習２号ロ,1373,False
2016-12,2016-12-31,07,福島県,29,文化活動,7,False
2016-12,2016-12-31,07,福島県,31,留学,767,False
2016-12,2016-12-31,07,福島県,32,研修,13,False
2016-12,2016-12-31,07,福島県,33,家族滞在,363,False
2016-12,2016-12-31,07,福島県,34,特定活動,153,False
2016-12,2016-12-31,07,福島県,35,永住者,4301,False
2016-12,2016-12-31,07,福島県,36,日本人の配偶者等,1070,False
2016-12,2016-12-31,07,福島県,37,永住者の配偶者等,75,False
2016-12,2016-12-31,07,福島県,38,定住者,532,False
2016-12,2016-12-31,07,福島県,39,特別永住者,1060,False
2016-12,2016-12-31,08,茨城県,03,教授,170,False
2016-12,2016-12-31,08,茨城県,05,宗教,68,False
2016-12,2016-12-31,08,茨城県,07,高度専門職１号イ,88,False
2016-12,2016-12-31,08,茨城県,08,高度専門職１号ロ,24,False
2016-12,2016-12-31,08,茨城県,10,高度専門職２号,1,False
2016-12,2016-12-31,08,茨城県,11,経営・管理,554,False
2016-12,2016-12-31,08,茨城県,13,医療,8,False
2016-12,2016-12-31,08,茨城県,14,研究,374,False
2016-12,2016-12-31,08,茨城県,15,教育,360,False
2016-12,2016-12-31,08,茨城県,16,技術・人文知識・国際業務,2128,False
2016-12,2016-12-31,08,茨城県,17,企業内転勤,324,False
