period,period_date,pref_code,prefecture,n_residents
2018-12,2018-12-31,33,岡山県,28158
2018-12,2018-12-31,34,広島県,52134
2018-12,2018-12-31,35,山口県,16591
2018-12,2018-12-31,36,徳島県,6073
2018-12,2018-12-31,37,香川県,12597
2018-12,2018-12-31,38,愛媛県,12038
2018-12,2018-12-31,39,高知県,4580
2018-12,2018-12-31,40,福岡県,77044
2018-12,2018-12-31,41,佐賀県,6452
2018-12,2018-12-31,42,長崎県,10369
2018-12,2018-12-31,43,熊本県,15576
2018-12,2018-12-31,44,大分県,12951
2018-12,2018-12-31,45,宮崎県,6621
2018-12,2018-12-31,46,鹿児島県,10547
2018-12,2018-12-31,47,沖縄県,18025
2019-12,2019-12-31,01,北海道,42485
2019-12,2019-12-31,02,青森県,6386
2019-12,2019-12-31,03,岩手県,8170
2019-12,2019-12-31,04,宮城県,23986
2019-12,2019-12-31,05,秋田県,4354
2019-12,2019-12-31,06,山形県,8058
2019-12,2019-12-31,07,福島県,15559
2019-12,2019-12-31,08,茨城県,71125
2019-12,2019-12-31,09,栃木県,43732
2019-12,2019-12-31,10,群馬県,61689
2019-12,2019-12-31,11,埼玉県,196043
2019-12,2019-12-31,12,千葉県,167512
2019-12,2019-12-31,13,東京都,593458
2019-12,2019-12-31,14,神奈川県,235233
2019-12,2019-12-31,15,新潟県,18861
2019-12,2019-12-31,16,富山県,19850
2019-12,2019-12-31,17,石川県,16881
2019-12,2019-12-31,18,福井県,15823
2019-12,2019-12-31,19,山梨県,17179
2019-12,2019-12-31,20,長野県,38446
2019-12,2019-12-31,21,岐阜県,60206
2019-12,2019-12-31,22,静岡県,100148
2019-12,2019-12-31,23,愛知県,281153
2019-12,2019-12-31,24,三重県,56590
2019-12,2019-12-31,25,滋賀県,33929
2019-12,2019-12-31,26,京都府,64972
2019-12,2019-12-31,27,大阪府,255894
2019-12,2019-12-31,28,兵庫県,115681
2019-12,2019-12-31,29,奈良県,13951
2019-12,2019-12-31,30,和歌山県,7169
2019-12,2019-12-31,31,鳥取県,5042
2019-12,2019-12-31,32,島根県,9342
2019-12,2019-12-31,33,岡山県,31569
2019-12,2019-12-31,34,広島県,56898
2019-12,2019-12-31,35,山口県,17892
2019-12,2019-12-31,36,徳島県,6592
2019-12,2019-12-31,37,香川県,14266
2019-12,2019-12-31,38,愛媛県,13540
2019-12,2019-12-31,39,高知県,4967
2019-12,2019-12-31,40,福岡県,83468
2019-12,2019-12-31,41,佐賀県,7367
2019-12,2019-12-31,42,長崎県,10995
2019-12,2019-12-31,43,熊本県,17942
2019-12,2019-12-31,44,大分県,14081
2019-12,2019-12-31,45,宮崎県,7850
2019-12,2019-12-31,46,鹿児島県,12215
2019-12,2019-12-31,47,沖縄県,21220
2020-12,2020-12-31,01,北海道,38725
2020-12,2020-12-31,02,青森県,6165
2020-12,2020-12-31,03,岩手県,7782
2020-12,2020-12-31,04,宮城県,22890
