period,period_date,pref_code,prefecture,n_residents
2025-06,2025-06-30,24,三重県,71154
2025-06,2025-06-30,25,滋賀県,44345
2025-06,2025-06-30,26,京都府,88337
2025-06,2025-06-30,27,大阪府,360390
2025-06,2025-06-30,28,兵庫県,148569
2025-06,2025-06-30,29,奈良県,20411
2025-06,2025-06-30,30,和歌山県,10736
2025-06,2025-06-30,31,鳥取県,6315
2025-06,2025-06-30,32,島根県,11652
2025-06,2025-06-30,33,岡山県,40130
2025-06,2025-06-30,34,広島県,69897
2025-06,2025-06-30,35,山口県,21866
2025-06,2025-06-30,36,徳島県,9190
2025-06,2025-06-30,37,香川県,20671
2025-06,2025-06-30,38,愛媛県,19069
2025-06,2025-06-30,39,高知県,6996
2025-06,2025-06-30,40,福岡県,119392
2025-06,2025-06-30,41,佐賀県,11953
2025-06,2025-06-30,42,長崎県,16393
2025-06,2025-06-30,43,熊本県,30825
2025-06,2025-06-30,44,大分県,21708
2025-06,2025-06-30,45,宮崎県,12147
2025-06,2025-06-30,46,鹿児島県,20032
2025-06,2025-06-30,47,沖縄県,31249
