election_id,election_type,election_date,election_year,pref_code,prefecture,party,votes,vote_share_pct
2013_sangiin,sangiin_pr,2013-07-21,2013,17,石川県,公明党,46480.839,9.33
2013_sangiin,sangiin_pr,2013-07-21,2013,18,福井県,自由民主党,161955.222,47.78
2013_sangiin,sangiin_pr,2013-07-21,2013,18,福井県,民主党,54309.387,16.02
2013_sangiin,sangiin_pr,2013-07-21,2013,18,福井県,日本維新の会,30252.597,8.93
2013_sangiin,sangiin_pr,2013-07-21,2013,18,福井県,公明党,36621.842,10.8
2013_sangiin,sangiin_pr,2013-07-21,2013,19,山梨県,自由民主党,133301.414,35.08
2013_sangiin,sangiin_pr,2013-07-21,2013,19,山梨県,民主党,58355.496,15.36
2013_sangiin,sangiin_pr,2013-07-21,2013,19,山梨県,日本維新の会,34031.638,8.96
2013_sangiin,sangiin_pr,2013-07-21,2013,19,山梨県,公明党,51153.953,13.46
2013_sangiin,sangiin_pr,2013-07-21,2013,20,長野県,自由民主党,299664.059,30.63
2013_sangiin,sangiin_pr,2013-07-21,2013,20,長野県,民主党,177917.159,18.19
2013_sangiin,sangiin_pr,2013-07-21,2013,20,長野県,日本維新の会,78613.427,8.04
2013_sangiin,sangiin_pr,2013-07-21,2013,20,長野県,公明党,113329.019,11.58
2013_sangiin,sangiin_pr,2013-07-21,2013,21,岐阜県,自由民主党,346869.589,40.16
2013_sangiin,sangiin_pr,2013-07-21,2013,21,岐阜県,民主党,119580.102,13.84
2013_sangiin,sangiin_pr,2013-07-21,2013,21,岐阜県,日本維新の会,95316.579,11.03
2013_sangiin,sangiin_pr,2013-07-21,2013,21,岐阜県,公明党,115754.263,13.4
2013_sangiin,sangiin_pr,2013-07-21,2013,22,静岡県,自由民主党,512774.012,33.57
2013_sangiin,sangiin_pr,2013-07-21,2013,22,静岡県,民主党,292520.703,19.15
2013_sangiin,sangiin_pr,2013-07-21,2013,22,静岡県,日本維新の会,176007.684,11.52
2013_sangiin,sangiin_pr,2013-07-21,2013,22,静岡県,公明党,208302.22,13.64
2013_sangiin,sangiin_pr,2013-07-21,2013,23,愛知県,自由民主党,996400.676,32.96
2013_sangiin,sangiin_pr,2013-07-21,2013,23,愛知県,民主党,548599.756,18.15
2013_sangiin,sangiin_pr,2013-07-21,2013,23,愛知県,日本維新の会,320057.962,10.59
2013_sangiin,sangiin_pr,2013-07-21,2013,23,愛知県,公明党,409796.771,13.56
2013_sangiin,sangiin_pr,2013-07-21,2013,24,三重県,自由民主党,282098.755,33.58
2013_sangiin,sangiin_pr,2013-07-21,2013,24,三重県,民主党,194999.488,23.21
2013_sangiin,sangiin_pr,2013-07-21,2013,24,三重県,日本維新の会,100480.724,11.96
2013_sangiin,sangiin_pr,2013-07-21,2013,24,三重県,公明党,114819.824,13.67
2013_sangiin,sangiin_pr,2013-07-21,2013,25,滋賀県,自由民主党,208451.297,36.01
2013_sangiin,sangiin_pr,2013-07-21,2013,25,滋賀県,民主党,98946.078,17.09
2013_sangiin,sangiin_pr,2013-07-21,2013,25,滋賀県,日本維新の会,84776.494,14.64
2013_sangiin,sangiin_pr,2013-07-21,2013,25,滋賀県,公明党,59127.691,10.21
2013_sangiin,sangiin_pr,2013-07-21,2013,26,京都府,自由民主党,324921.939,30.67
2013_sangiin,sangiin_pr,2013-07-21,2013,26,京都府,民主党,129957.177,12.27
2013_sangiin,sangiin_pr,2013-07-21,2013,26,京都府,日本維新の会,166379.854,15.7
2013_sangiin,sangiin_pr,2013-07-21,2013,26,京都府,公明党,132466.341,12.5
2013_sangiin,sangiin_pr,2013-07-21,2013,27,大阪府,自由民主党,896679.679,24.47
2013_sangiin,sangiin_pr,2013-07-21,2013,27,大阪府,民主党,270518.635,7.38
2013_sangiin,sangiin_pr,2013-07-21,2013,27,大阪府,日本維新の会,1053036.557,28.73
2013_sangiin,sangiin_pr,2013-07-21,2013,27,大阪府,公明党,667150.87,18.2
2013_sangiin,sangiin_pr,2013-07-21,2013,28,兵庫県,自由民主党,720802.437,30.85
2013_sangiin,sangiin_pr,2013-07-21,2013,28,兵庫県,民主党,287828.334,12.32
2013_sangiin,sangiin_pr,2013-07-21,2013,28,兵庫県,日本維新の会,456393.11,19.54
