election_id,election_year,election_date,election_type,pref_code,prefecture,share_公明党,share_参政党,share_国民民主党,share_希望の党,share_日本共産党,share_日本維新の会,share_次世代の党,share_民主党,share_民進党,share_立憲民主党,share_維新の党,share_自由民主党,treat_period,foreign_total,foreign_growth_yoy,by_status_intern_low_skill,by_status_long_term,by_status_other,by_status_other_work,by_status_permanent,by_status_skilled_specialist,by_status_specified_skilled,by_status_spouse_japanese,by_status_student
2013_sangiin,2013,2013-07-21,sangiin_pr,44,大分県,14.13,,,,,7.26,,11.95,,,,40.14,,,,,,,,,,,,
2013_sangiin,2013,2013-07-21,sangiin_pr,45,宮崎県,19.09,,,,,9.92,,12.37,,,,40.39,,,,,,,,,,,,
2013_sangiin,2013,2013-07-21,sangiin_pr,46,鹿児島県,13.92,,,,,11.61,,12.61,,,,46.72,,,,,,,,,,,,
2013_sangiin,2013,2013-07-21,sangiin_pr,47,沖縄県,16.64,,,,,12.67,,6.66,,,,25.65,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,01,北海道,13.20376327904861,,,,12.976941264561711,,1.646187711424694,29.578397854314403,,,10.619460667654442,31.975249222996137,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,02,青森県,12.01557992644204,,,,11.41964356534844,,1.6281273613065097,21.73737888193572,,,14.962072981852643,38.23719728311465,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,03,岩手県,10.436384269951814,,,,13.929807918220064,,1.6402090601602086,26.403154520992462,,,10.541889609497254,37.048554621178205,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,04,宮城県,13.630775720330046,,,,11.363893248875822,,3.267484907065276,22.490657587018152,,,14.917447677243665,34.32974085946704,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,05,秋田県,11.403646322205903,,,,8.366222379274932,,1.687776759389114,21.706770321454997,,,18.632905242002277,38.20267897567278,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,06,山形県,13.177264219871287,,,,8.974407734729214,,1.5929858977310258,25.07141212855184,,,10.94992643599932,40.234003583117314,,,,,,,,,,,,
2014_shugiin,2014,2014-12-14,shugiin_pr,07,福島県,11.96495235719177,,,,10.65761758671277,,1.5833291102561005,29.072313375720032,,,14.69734829732023,32.02443927279909,,,,,,,,,,,,
