election_id,election_type,election_date,election_year,pref_code,prefecture,party,votes,vote_share_pct,treat_period,foreign_total,foreign_total_year_ago,foreign_growth_yoy,by_status_intern_low_skill,by_status_long_term,by_status_other,by_status_other_work,by_status_permanent,by_status_skilled_specialist,by_status_specified_skilled,by_status_spouse_japanese,by_status_student,restrictive_score
2013_sangiin,sangiin_pr,2013-07-21,2013,12,千葉県,公明党,363669.624,14.89,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,13,東京都,自由民主党,1797989.603,31.92,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,13,東京都,民主党,585724.188,10.4,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,13,東京都,日本維新の会,635573.493,11.28,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,13,東京都,公明党,688534.831,12.22,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,14,神奈川県,自由民主党,1346664.712,34.26,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,14,神奈川県,民主党,481168.84,12.24,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,14,神奈川県,日本維新の会,410505.832,10.44,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,14,神奈川県,公明党,444670.392,11.31,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,15,新潟県,自由民主党,409001.583,39.24,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,15,新潟県,民主党,174264.364,16.72,,,,,,,,,,,,,,-1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,15,新潟県,日本維新の会,106823.77,10.25,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,15,新潟県,公明党,94639.644,9.08,,,,,,,,,,,,,,0.0
2013_sangiin,sangiin_pr,2013-07-21,2013,16,富山県,自由民主党,203612.525,46.87,,,,,,,,,,,,,,1.0
2013_sangiin,sangiin_pr,2013-07-21,2013,16,富山県,民主党,40870.959,9.41,,,,,,,,,,,,,,-1.0
