year,prefecture,house,n_speeches,pct_pro,pct_anti,pct_neutral,stance_score_mean,pct_switcher_speeches
2015,香川県,参議院,1,0.0,0.0,100.0,0.0,0.0
2015,鳥取県,参議院,15,53.3,6.7,40.0,0.467,0.0
2016,京都府,参議院,8,25.0,62.5,12.5,-0.375,100.0
2016,京都府,衆議院,2,0.0,50.0,50.0,-0.5,0.0
2016,佐賀県,参議院,3,0.0,0.0,100.0,0.0,33.3
2016,全国,参議院,137,10.2,36.5,53.3,-0.263,66.4
2016,全国,衆議院,214,10.3,32.7,57.0,-0.224,51.9
2016,兵庫県,参議院,1,0.0,0.0,100.0,0.0,0.0
2016,兵庫県,衆議院,8,25.0,0.0,75.0,0.25,50.0
2016,北海道,参議院,3,0.0,0.0,100.0,0.0,0.0
2016,北海道,衆議院,21,4.8,33.3,61.9,-0.286,9.5
2016,千葉県,参議院,6,33.3,0.0,66.7,0.333,33.3
2016,埼玉県,参議院,1,0.0,0.0,100.0,0.0,0.0
2016,埼玉県,衆議院,1,0.0,0.0,100.0,0.0,0.0
2016,大分県,参議院,2,0.0,0.0,100.0,0.0,0.0
2016,大阪府,参議院,30,10.0,36.7,53.3,-0.267,96.7
2016,大阪府,衆議院,1,0.0,0.0,100.0,0.0,0.0
2016,山口県,参議院,6,33.3,16.7,50.0,0.167,0.0
2016,山口県,衆議院,10,30.0,20.0,50.0,0.1,20.0
2016,山形県,参議院,3,0.0,33.3,66.7,-0.333,0.0
2016,山梨県,衆議院,2,50.0,50.0,0.0,0.0,0.0
2016,岡山県,参議院,8,0.0,0.0,100.0,0.0,0.0
2016,岡山県,衆議院,17,5.9,58.8,35.3,-0.529,0.0
2016,岩手県,衆議院,11,9.1,45.5,45.5,-0.364,0.0
2016,広島県,参議院,2,0.0,50.0,50.0,-0.5,50.0
2016,愛媛県,参議院,21,23.8,14.3,61.9,0.095,100.0
2016,愛媛県,衆議院,12,8.3,0.0,91.7,0.083,100.0
2016,愛知県,参議院,5,0.0,40.0,60.0,-0.4,0.0
2016,愛知県,衆議院,6,0.0,66.7,33.3,-0.667,0.0
2016,新潟県,衆議院,10,10.0,40.0,50.0,-0.3,0.0
2016,東京都,参議院,3,33.3,0.0,66.7,0.333,0.0
2016,東京都,衆議院,5,20.0,20.0,60.0,0.0,20.0
2016,栃木県,衆議院,1,0.0,0.0,100.0,0.0,0.0
2016,沖縄県,参議院,24,0.0,33.3,66.7,-0.333,100.0
2016,沖縄県,衆議院,1,0.0,0.0,100.0,0.0,100.0
2016,石川県,参議院,4,25.0,0.0,75.0,0.25,0.0
2016,神奈川県,参議院,55,7.3,30.9,61.8,-0.236,1.8
2016,神奈川県,衆議院,4,50.0,0.0,50.0,0.5,0.0
2016,福岡県,参議院,21,4.8,0.0,95.2,0.048,0.0
2016,福岡県,衆議院,8,25.0,50.0,25.0,-0.25,0.0
2016,福島県,参議院,6,16.7,0.0,83.3,0.167,100.0
2016,福島県,衆議院,47,29.8,4.3,66.0,0.255,100.0
2016,秋田県,参議院,7,0.0,57.1,42.9,-0.571,100.0
2016,群馬県,衆議院,9,33.3,0.0,66.7,0.333,88.9
2016,茨城県,参議院,2,50.0,0.0,50.0,0.5,100.0
2016,茨城県,衆議院,24,4.2,0.0,95.8,0.042,41.7
2016,長野県,参議院,2,50.0,0.0,50.0,0.5,0.0
2016,長野県,衆議院,66,13.6,25.8,60.6,-0.121,0.0
2016,静岡県,参議院,6,0.0,66.7,33.3,-0.667,100.0
2016,静岡県,衆議院,1,100.0,0.0,0.0,1.0,0.0
2016,香川県,参議院,2,50.0,0.0,50.0,0.5,0.0
2016,鳥取県,参議院,8,62.5,12.5,25.0,0.5,0.0
2016,鹿児島県,衆議院,8,37.5,12.5,50.0,0.25,25.0
2017,佐賀県,参議院,2,0.0,0.0,100.0,0.0,0.0
2017,全国,参議院,34,26.5,26.5,47.1,0.0,50.0
2017,全国,衆議院,63,15.9,39.7,44.4,-0.238,41.3
2017,兵庫県,参議院,14,7.1,21.4,71.4,-0.143,0.0
2017,兵庫県,衆議院,4,0.0,50.0,50.0,-0.5,0.0
2017,北海道,参議院,5,0.0,40.0,60.0,-0.4,0.0
2017,北海道,衆議院,3,0.0,66.7,33.3,-0.667,100.0
2017,埼玉県,参議院,1,0.0,0.0,100.0,0.0,0.0
2017,大分県,参議院,1,0.0,100.0,0.0,-1.0,0.0
2017,大阪府,衆議院,23,0.0,52.2,47.8,-0.522,4.3
2017,奈良県,参議院,1,100.0,0.0,0.0,1.0,0.0
2017,富山県,衆議院,1,0.0,0.0,100.0,0.0,0.0
2017,山口県,参議院,3,33.3,0.0,66.7,0.333,0.0
2017,山口県,衆議院,9,22.2,11.1,66.7,0.111,0.0
2017,山梨県,衆議院,2,0.0,0.0,100.0,0.0,0.0
2017,岐阜県,衆議院,3,66.7,0.0,33.3,0.667,0.0
2017,岡山県,衆議院,2,0.0,50.0,50.0,-0.5,0.0
2017,広島県,衆議院,1,0.0,0.0,100.0,0.0,0.0
2017,徳島県,参議院,1,0.0,0.0,100.0,0.0,100.0
2017,愛媛県,衆議院,5,20.0,0.0,80.0,0.2,100.0
