speaker,speaker_yomi,canonical_house,canonical_party,canonical_position,n_speeches,first_date,last_date,wikipedia_title,district_prefecture,district_block,status,source,notes
井出庸生,いでようせい,衆議院,民進党・無所属クラブ,,84,2014-05-28,2022-03-01,井出庸生,長野3区,,ok,wikipedia,
岸田文雄,きしだふみお,参議院,自由民主党・無所属の会,内閣総理大臣,83,2013-11-13,2024-06-06,岸田文雄,,,no_district,,
櫻井充,さくらいみつる,参議院,国民民主党・新緑風会,,78,2018-05-24,2019-05-14,桜井充,宮城県,,ok,wikipedia,
逢坂誠二,おおさかせいじ,衆議院,立憲民主党・市民クラブ,,76,2016-03-09,2020-02-12,逢坂誠二,北海道,第8区,ok,wikipedia,
有田芳生,ありたよしふ,参議院,立憲民主党・民友会,,76,2013-05-09,2022-05-19,有田芳生,全国,比例区,ok,wikipedia,
石橋通宏,いしばしみちひろ,参議院,立憲民主・社民,,72,2013-05-28,2024-06-18,石橋通宏,全国,比例区,ok,wikipedia,
葉梨康弘,はなしやすひろ,衆議院,自由民主党,法務副大臣・内閣府副大臣,68,2014-10-15,2022-11-02,葉梨康弘,茨城県,第3区,ok,wikipedia,
塩崎恭久,しおざきやすひさ,参議院,自由民主党,厚生労働大臣,64,2014-10-10,2017-04-19,塩崎恭久,愛媛県,第1区,ok,wikipedia,
石井苗子,いしいみつこ,参議院,日本維新の会,,63,2017-05-15,2023-04-25,石井苗子,全国,比例区,ok,wikipedia,
門山宏哲,かどやまひろあき,参議院,自由民主党,法務大臣政務官,60,2018-11-14,2024-05-15,門山宏哲,千葉1区,,ok,wikipedia,
伊藤孝江,いとうたかえ,参議院,公明党,,59,2018-11-29,2024-06-11,伊藤孝江,兵庫県,,ok,wikipedia,
階猛,しなたけし,衆議院,国民民主党・無所属クラブ,,59,2016-04-27,2024-05-10,階猛,岩手県,第1区,ok,wikipedia,
齋藤健,さいとうけん,衆議院,自由民主党・無所属の会,法務大臣,58,2018-04-10,2024-05-23,齋藤健,千葉県,第7区,ok,wikipedia,
中川正春,なかがわまさはる,衆議院,立憲民主党・無所属,内閣府特命担当大臣（「新しい公共」・防災・少子化対策・男女共同参画）,58,2012-02-22,2023-05-31,中川正春,全国,比例区,ok,wikipedia,
本村伸子,もとむらのぶこ,衆議院,日本共産党,,54,2015-03-10,2024-05-21,本村伸子,全国,比例区,ok,wikipedia,
岩城光英,いわきみつひで,衆議院,自由民主党,法務大臣,53,2016-01-21,2016-05-13,岩城光英,福島県,,ok,wikipedia,
佐々木さやか,ささきさやか,参議院,公明党,,52,2014-06-10,2024-06-14,佐々木さやか,神奈川県,,ok,wikipedia,
山北幸泰,,衆議院,,農林水産省大臣官房審議官,52,2017-04-06,2019-01-23,山北幸泰,,,no_district,,
金田勝年,かねだかつとし,参議院,自由民主党・無所属の会,法務大臣,52,2016-10-14,2017-05-10,金田勝年,全国,比例区,ok,wikipedia,
松田功,まつだいさお,衆議院,立憲民主党・無所属フォーラム,,51,2018-11-20,2020-03-31,松田功,全国,比例区,ok,wikipedia,
小川敏夫,おがわとしお,参議院,立憲民主党・民友会,法務大臣,51,2012-03-02,2019-05-14,小川敏夫,東京都,,ok,wikipedia,
源馬謙太郎,げんまけんたろう,衆議院,国民民主党・無所属クラブ,,49,2018-03-23,2020-04-06,源馬謙太郎,静岡県,第8区,ok,wikipedia,
武見敬三,たけみけいぞう,衆議院,自由民主党,厚生労働大臣,47,2014-03-13,2024-06-04,武見敬三,東京都,,ok,wikipedia,
牧山ひろえ,まきやまひろえ,参議院,立憲民主・社民,,45,2018-10-31,2024-06-18,牧山弘恵,神奈川県,,ok,wikipedia,
阿部知子,あべともこ,衆議院,立憲民主党・無所属フォーラム,,44,2018-11-14,2024-05-10,阿部知子,神奈川県,第12区,ok,wikipedia,
串田誠一,くしだせいいち,衆議院,日本維新の会,,44,2018-11-13,2020-11-11,串田誠一,全国,比例区,ok,wikipedia,
谷垣禎一,たにがきさだかず,衆議院,自由民主党,法務大臣,44,2013-03-13,2014-06-10,谷垣禎一,,,no_district,,
加藤勝信,かとうかつのぶ,衆議院,自由民主党・無所属の会,厚生労働大臣,43,2016-03-08,2023-06-12,加藤勝信,,,no_district,,
徳永エリ,とくながえり,参議院,国民民主党・新緑風会,,42,2014-05-29,2024-05-30,徳永エリ,北海道,,ok,wikipedia,
清水貴之,しみずたかゆき,参議院,日本維新の会・教育無償化を実現する会,,41,2017-03-22,2024-06-14,清水貴之,兵庫県,,ok,wikipedia,
山本太郎,やまもとたろう,参議院,希望の会（自由・社民）,,41,2015-07-07,2023-05-26,山本太郎,東京都,,ok,wikipedia,
真山勇一,まやまゆういち,参議院,民進党・新緑風会,,40,2014-06-10,2021-03-16,真山勇一,神奈川県,,ok,wikipedia,
郡和子,こおりかずこ,衆議院,民主党・無所属クラブ,,40,2013-11-05,2016-04-26,郡和子,全国,比例区,ok,wikipedia,
鈴木庸介,すずきようすけ,衆議院,立憲民主党・無所属,,39,2022-04-22,2024-06-19,鈴木庸介,全国,比例区,ok,wikipedia,
山本幸三,やまもとこうぞう,参議院,自由民主党・無所属の会,内閣府特命担当大臣（規制改革・地方創生）,38,2016-10-18,2019-02-18,山本幸三,福岡県,第10区,ok,wikipedia,
畑野君枝,はたのきみえ,衆議院,日本共産党,,38,2015-09-03,2021-03-12,畑野君枝,全国,比例区,ok,wikipedia,
石井啓一,いしいけいいち,参議院,公明党,国土交通大臣,37,2016-03-03,2024-10-07,石井啓一,全国,比例区,ok,wikipedia,
清水忠史,しみずただし,衆議院,日本共産党,,37,2015-07-08,2020-04-22,清水忠史,全国,比例区,ok,wikipedia,
山尾志桜里,やまおしおり,衆議院,立憲民主党・市民クラブ,,37,2015-03-20,2021-04-16,菅野志桜里,愛知県,第7区,ok,wikipedia,
浜地雅一,はまちまさかず,衆議院,公明党,厚生労働副大臣,36,2018-03-09,2024-04-03,濱地雅一,全国,比例区,ok,wikipedia,
高木かおり,たかぎかおり,参議院,日本維新の会,,35,2016-10-28,2021-02-17,高木佳保里,大阪府,,ok,wikipedia,
高橋千鶴子,たかはしちづこ,衆議院,日本共産党,,35,2014-04-09,2020-02-27,高橋千鶴子,全国,比例区,ok,wikipedia,
秋野公造,あきのこうぞう,参議院,公明党,,34,2015-05-26,2024-06-18,秋野公造,福岡県,,ok,wikipedia,
原口剛,,衆議院,,厚生労働省大臣官房審議官,33,2022-11-02,2024-06-11,原口剛,,,no_district,,
米山隆一,よねやまりゅういち,衆議院,立憲民主党・無所属,,32,2022-03-02,2024-05-29,米山隆一,,,no_district,,
田所嘉徳,たどころよしのり,衆議院,自由民主党,法務大臣政務官・内閣府大臣政務官,32,2014-11-07,2024-04-11,田所嘉徳,茨城1区,,ok,wikipedia,
山井和則,やまのいかずのり,衆議院,国民民主党・無所属クラブ,,32,2014-04-23,2019-04-24,山井和則,京都府,第6区,ok,wikipedia,
日下正喜,くさかまさき,衆議院,公明党,,31,2022-02-16,2024-05-14,日下正喜,全国,比例区,ok,wikipedia,
足立康史,あだちやすし,衆議院,日本維新の会,,31,2013-11-20,2024-05-10,足立康史,全国,比例区,ok,wikipedia,
田村憲久,たむらのりひさ,衆議院,自由民主党,厚生労働大臣,31,2013-04-10,2023-10-27,田村憲久,三重県,第1区,ok,wikipedia,
丸山穂高,まるやまほだか,衆議院,日本維新の会,,31,2014-06-06,2019-04-24,丸山穂高,大阪府,第19区,ok,wikipedia,
浜田和幸,はまだかずゆき,参議院,次世代の党,,31,2014-02-06,2016-05-24,浜田和幸,鳥取県,,ok,wikipedia,
浜口誠,はまぐちまこと,参議院,国民民主党・新緑風会,,30,2018-03-27,2024-06-06,濱口誠,全国,比例区,ok,wikipedia,
平口洋,ひらぐちひろし,衆議院,自由民主党,法務副大臣,29,2013-11-28,2024-05-14,平口洋,広島県,第2区,ok,wikipedia,
東徹,あずまとおる,参議院,日本維新の会,,29,2014-06-17,2023-05-15,東徹,,,no_district,,
田村智子,たむらともこ,参議院,日本共産党,,29,2015-07-07,2024-05-30,田村智子,全国,比例区,ok,wikipedia,
元榮太一郎,もとえたいちろう,参議院,自由民主党・国民の声,,29,2016-11-10,2022-05-10,元榮太一郎,千葉県,,ok,wikipedia,
道下大樹,みちしただいき,衆議院,立憲民主党・無所属,,28,2018-11-16,2024-06-19,道下大樹,北海道,第1区,ok,wikipedia,
古川禎久,ふるかわよしひさ,参議院,自由民主党,法務大臣,28,2022-02-08,2023-02-13,古川禎久,宮崎県,第3区,ok,wikipedia,
八神敦雄,,参議院,,厚生労働大臣官房審議官,28,2017-12-05,2019-05-14,八神敦雄,,,no_district,,
山田勝彦,やまだかつひこ,衆議院,立憲民主党・無所属,,27,2022-03-09,2024-05-17,山田勝彦,,,no_district,,
柚木道義,ゆのきみちよし,衆議院,民主党・無所属クラブ,,27,2015-04-07,2023-04-26,柚木道義,岡山県,第4区,ok,wikipedia,
阿部弘樹,あべひろき,衆議院,日本維新の会・教育無償化を実現する会,,26,2022-03-02,2024-05-17,阿部弘樹,全国,比例区,ok,wikipedia,
岬麻紀,みさきまき,衆議院,日本維新の会,,26,2022-02-16,2024-05-08,岬麻紀,全国,比例区,ok,wikipedia,
長谷川岳,はせがわがく,参議院,自由民主党・国民の声,,25,2018-11-29,2019-04-16,長谷川岳,北海道,,ok,wikipedia,
小池晃,こいけあきら,参議院,日本共産党,,25,2014-06-10,2022-01-21,小池晃,全国,比例区,ok,wikipedia,
津田弥太郎,つだやたろう,参議院,民主党・新緑風会,,25,2014-04-10,2016-05-13,津田弥太郎,全国,比例区,ok,wikipedia,
鷲尾英一郎,わしおえいいちろう,衆議院,民主党・無所属クラブ,,25,2014-11-05,2016-04-19,鷲尾英一郎,新潟県,第4区,ok,wikipedia,
倉林明子,くらばやしあきこ,参議院,日本共産党,,24,2016-11-10,2024-06-04,倉林明子,京都府,,ok,wikipedia,
高良鉄美,たからてつみ,参議院,沖縄の風,,24,2019-11-21,2022-11-10,高良鉄美,沖縄県,,ok,wikipedia,
尾辻かな子,おつじかなこ,衆議院,立憲民主党・市民クラブ,,24,2017-11-24,2020-05-15,尾辻かな子,大阪府,第10区,ok,wikipedia,
武部新,たけべあらた,衆議院,自由民主党・無所属の会,,23,2014-02-26,2024-06-21,武部新,北海道,第12区,ok,wikipedia,
小熊慎司,おぐましんじ,衆議院,立憲民主党・無所属,,23,2018-11-14,2024-05-17,小熊慎司,福島県,第3区,ok,wikipedia,
山添拓,やまぞえたく,参議院,日本共産党,,23,2017-05-25,2024-03-28,山添拓,東京都,,ok,wikipedia,
舟山康江,ふなやまやすえ,参議院,国民民主党・新緑風会,,23,2016-10-05,2022-10-07,舟山康江,山形県,,ok,wikipedia,
杉久武,すぎひさたけ,参議院,公明党,,23,2021-05-12,2023-06-09,杉久武,大阪府,,ok,wikipedia,
石川博崇,いしかわひろたか,参議院,公明党,,22,2016-03-17,2024-06-11,石川博崇,大阪府,,ok,wikipedia,
横山信一,よこやましんいち,参議院,公明党,,22,2018-04-10,2024-05-28,横山信一,全国,比例区,ok,wikipedia,
藤原崇,ふじわらたかし,衆議院,自由民主党,,22,2018-11-13,2024-05-08,藤原崇,岩手県,第3区,ok,wikipedia,
里見隆治,さとみりゅうじ,参議院,公明党,,22,2016-10-20,2024-05-13,里見隆治,愛知県,,ok,wikipedia,
森まさこ,もりまさこ,衆議院,自由民主党・国民の声,法務大臣,22,2019-11-05,2020-04-06,森まさこ,福島県,,ok,wikipedia,
足立信也,あだちしんや,参議院,国民民主党・新緑風会,,22,2014-04-08,2019-05-09,足立信也,大分県,,ok,wikipedia,
谷亮子,たにりょうこ,参議院,生活の党,,22,2014-03-13,2016-03-23,谷亮子,全国,比例区,ok,wikipedia,
大口善徳,おおぐちよしのり,衆議院,公明党,厚生労働副大臣,21,2018-11-21,2024-05-15,大口善徳,全国,比例区,ok,wikipedia,
空本誠喜,そらもとせいき,衆議院,日本維新の会・教育無償化を実現する会,,21,2023-03-10,2024-04-24,空本誠喜,広島県,第4区,ok,wikipedia,
遠山清彦,とおやまきよひこ,衆議院,公明党,,21,2014-05-23,2019-04-17,遠山清彦,全国,比例区,ok,wikipedia,
堀江裕,,衆議院,,厚生労働省大臣官房審議官,21,2016-02-25,2016-05-13,堀江裕,,,no_district,,
吉田宣弘,よしだのぶひろ,衆議院,公明党,経済産業大臣政務官・内閣府大臣政務官・復興大臣政務官,21,2016-04-06,2024-04-04,吉田宣弘,全国,比例区,ok,wikipedia,
中曽根康隆,なかそねやすたか,衆議院,自由民主党,,20,2018-11-16,2024-05-14,中曽根康隆,群馬県,第1区,ok,wikipedia,
國重徹,くにしげとおる,衆議院,公明党,,20,2016-04-15,2021-03-09,國重徹,全国,比例区,ok,wikipedia,
柴山昌彦,しばやままさひこ,衆議院,自由民主党,文部科学大臣,20,2018-02-13,2019-05-22,柴山昌彦,埼玉8区,,ok,wikipedia,
黒岩宇洋,くろいわたかひろ,衆議院,無所属の会,,20,2018-04-18,2019-03-19,黒岩宇洋,新潟県,第3区,ok,wikipedia,
北村知久,,参議院,,国土交通大臣官房建設流通政策審議官,20,2018-11-21,2019-05-21,北村知久,,,no_district,,
吉田光市,,参議院,,国土交通大臣官房建設流通政策審議官,20,2014-04-09,2015-03-26,吉田光市,,,no_district,,
西田譲,にしだゆずる,衆議院,日本維新の会,,20,2013-03-22,2014-11-12,西田譲,全国,比例区,ok,wikipedia,
椎名毅,しいなつよし,衆議院,みんなの党,,20,2013-04-24,2014-05-23,椎名毅,全国,比例区,ok,wikipedia,
谷合正明,たにあいまさあき,参議院,公明党,農林水産副大臣,19,2015-04-22,2023-06-07,谷合正明,全国,比例区,ok,wikipedia,
川田龍平,かわだりゅうへい,参議院,立憲民主党・民友会,,19,2016-03-16,2023-05-11,川田龍平,全国,比例区,ok,wikipedia,
鈴木義弘,すずきよしひろ,衆議院,国民民主党・無所属クラブ,,19,2017-03-10,2023-11-08,鈴木義弘,全国,比例区,ok,wikipedia,
礒崎哲史,いそざきてつじ,参議院,国民民主党・新緑風会,,19,2018-11-15,2019-04-04,礒﨑哲史,全国,比例区,ok,wikipedia,
笹川博義,ささがわひろよし,衆議院,自由民主党,,18,2015-03-10,2024-05-14,笹川博義,群馬県,第3区,ok,wikipedia,
大西健介,おおにしけんすけ,衆議院,国民民主党・無所属クラブ,,18,2014-02-26,2024-05-08,大西健介,愛知13区,,ok,wikipedia,
高橋英明,たかはしひであき,衆議院,日本維新の会・教育無償化を実現する会,,18,2022-02-08,2024-12-18,高橋英明,,,no_district,,
岸真紀子,きしまきこ,参議院,立憲民主・社民,,18,2020-07-09,2023-05-23,岸真紀子,全国,比例区,ok,wikipedia,
山口和之,やまぐちかずゆき,参議院,日本維新の会・希望の党,,18,2014-05-13,2019-05-14,山口和之,全国,比例区,ok,wikipedia,
塩川鉄也,しおかわてつや,衆議院,日本共産党,,18,2015-06-03,2018-11-28,塩川鉄也,全国,比例区,ok,wikipedia,
岡本充功,おかもとみつのり,衆議院,国民民主党・無所属クラブ,,18,2015-02-25,2020-12-02,岡本充功,愛知県,第9区,ok,wikipedia,
美延映夫,みのべてるお,衆議院,日本維新の会・教育無償化を実現する会,,17,2023-11-08,2024-05-21,美延映夫,大阪府,第4区,ok,wikipedia,
玉木雄一郎,たまきゆういちろう,衆議院,国民民主党・無所属クラブ,,17,2014-02-24,2021-12-09,玉木雄一郎,香川県,第2区,ok,wikipedia,
稲富修二,いなとみしゅうじ,衆議院,立憲民主・国民・社保・無所属フォーラム,,17,2018-06-06,2024-03-12,稲富修二,福岡県,第2区,ok,wikipedia,
吉川貴盛,よしかわたかもり,参議院,自由民主党,農林水産大臣,17,2018-11-05,2019-04-11,吉川貴盛,北海道2区,,ok,wikipedia,
福島伸享,ふくしまのぶゆき,衆議院,民進党・無所属クラブ,,17,2017-01-27,2017-05-31,福島伸享,茨城1区,,ok,wikipedia,
木下智彦,きのしたともひこ,衆議院,おおさか維新の会,,17,2016-04-06,2017-02-14,木下智彦,全国,比例区,ok,wikipedia,
福岡資麿,ふくおかたかまろ,参議院,自由民主党・国民の声,厚生労働大臣,16,2016-03-29,2024-12-11,福岡資麿,佐賀県,,ok,wikipedia,
稲津久,いなつひさし,衆議院,公明党,厚生労働副大臣,16,2016-05-10,2024-05-29,稲津久,北海道,第10区,ok,wikipedia,
宮崎政久,みやざきまさひさ,衆議院,自由民主党・無所属の会,厚生労働副大臣,16,2019-03-08,2024-06-13,宮崎政久,沖縄県,第2区,ok,wikipedia,
福山哲郎,ふくやまてつろう,参議院,立憲民主党・民友会,,16,2018-11-26,2024-06-06,福山哲郎,京都府,,ok,wikipedia,
門博文,かどひろふみ,衆議院,自由民主党,,16,2013-11-05,2018-11-22,門博文,全国,比例区,ok,wikipedia,
鈴木馨祐,すずきけいすけ,衆議院,自由民主党・無所属の会,法務大臣,15,2016-02-29,2024-12-19,鈴木馨祐,神奈川7区,,ok,wikipedia,
相原久美子,あいはらくみこ,参議院,立憲民主党・民友会,,15,2014-03-27,2019-06-14,相原久美子,全国,比例区,ok,wikipedia,
行田邦子,こうだくにこ,参議院,日本維新の会・希望の党,,15,2014-06-10,2019-05-13,行田邦子,埼玉県,,ok,wikipedia,
鬼木誠,おにきまこと,衆議院,自由民主党,,15,2018-11-22,2022-12-08,鬼木誠,,,no_district,,
河野正美,かわのまさみ,衆議院,おおさか維新の会,,15,2016-03-16,2017-04-14,河野正美,全国,比例区,ok,wikipedia,
中井川誠,,参議院,,厚生労働大臣官房審議官,15,2016-10-20,2017-04-06,中井川誠,,,no_district,,
大島理森,おおしまただもり,衆議院,無所属,議長,15,2015-09-03,2021-06-16,大島理森,,,no_district,,
斉藤鉄夫,さいとうてつお,参議院,公明党,国土交通大臣,14,2019-01-31,2024-10-07,斉藤鉄夫,全国,比例区,ok,wikipedia,
鎌田さゆり,かまたさゆり,衆議院,立憲民主党・無所属,,14,2022-11-08,2024-05-21,鎌田さゆり,宮城県,第2区,ok,wikipedia,
おおつき紅葉,おおつきくれは,衆議院,立憲民主党・無所属,,14,2022-02-03,2024-05-14,大築紅葉,北海道,第4区,ok,wikipedia,
西村康稔,にしむらやすとし,参議院,自由民主党・無所属の会,経済産業大臣・内閣府特命担当大臣（原子力損害賠償・廃炉等支援機構）,14,2014-04-23,2023-12-07,西村康稔,兵庫県,第9区,ok,wikipedia,
伊藤孝恵,いとうたかえ,参議院,国民民主党・新緑風会,,14,2018-06-12,2023-05-25,伊藤孝恵,愛知県,,ok,wikipedia,
石川香織,いしかわかおり,衆議院,立憲民主党・市民クラブ,,14,2018-03-22,2021-04-21,石川香織,北海道,第11区,ok,wikipedia,
井野俊郎,いのとしろう,衆議院,自由民主党,法務大臣政務官・内閣府大臣政務官,14,2016-05-10,2021-04-21,井野俊郎,群馬県,第2区,ok,wikipedia,
松平浩一,まつだいらこういち,衆議院,立憲民主党・市民クラブ,,14,2018-06-01,2021-04-28,松平浩一,全国,比例区,ok,wikipedia,
初鹿明博,はつしかあきひろ,衆議院,民進党・無所属クラブ,,14,2016-03-08,2019-11-27,初鹿明博,全国,比例区,ok,wikipedia,
林芳正,はやしよしまさ,衆議院,自由民主党,農林水産大臣,14,2013-03-21,2024-02-16,林芳正,,,no_district,,
盛山正仁,もりやままさひと,衆議院,自由民主党・無所属の会,法務副大臣・内閣府副大臣,14,2014-10-15,2024-02-28,盛山正仁,兵庫県,第1区,ok,wikipedia,
杵渕正巳,,参議院,,法務大臣官房審議官,14,2014-03-13,2015-03-26,杵渕正巳,,,no_district,,
伊藤忠彦,いとうただひこ,衆議院,自由民主党・無所属の会,,14,2018-11-16,2023-06-21,伊藤忠彦,愛知8区,,ok,wikipedia,
義家弘介,よしいえひろゆき,衆議院,自由民主党・無所属の会,法務副大臣,14,2020-03-06,2021-06-16,義家弘介,全国,比例区,ok,wikipedia,
平林晃,ひらばやしあきら,衆議院,公明党,,13,2023-05-10,2024-05-14,平林晃,全国,比例区,ok,wikipedia,
田中健,たなかけん,衆議院,国民民主党・無所属クラブ,,13,2023-03-10,2024-05-10,田中健,,,no_district,,
梅村みずほ,うめむらみずほ,参議院,日本維新の会,,13,2020-02-19,2023-05-18,梅村みずほ,全国,比例区,ok,wikipedia,
青山大人,あおやまやまと,衆議院,国民民主党・無所属クラブ,,13,2018-11-14,2024-04-19,青山大人,茨城県,第6区,ok,wikipedia,
重徳和彦,しげとくかずひこ,衆議院,民進党・無所属クラブ,,13,2014-04-23,2020-06-16,重徳和彦,全国,比例区,ok,wikipedia,
濱村進,はまむらすすむ,衆議院,公明党,,13,2016-02-25,2020-03-05,濱村進,全国,比例区,ok,wikipedia,
井上英孝,いのうえひでたか,衆議院,日本維新の会・無所属の会,,13,2018-11-16,2020-03-06,井上英孝,大阪1区,,ok,wikipedia,
石岡邦章,,衆議院,,法務省大臣官房審議官,13,2019-02-27,2019-03-26,石岡邦章,,,no_district,,
奥野総一郎,おくのそういちろう,衆議院,国民民主党・無所属クラブ,,13,2018-02-23,2019-03-13,奥野総一郎,千葉9区,,ok,wikipedia,
蓮舫,れんほう,参議院,立憲民主党・民友会,,13,2018-11-05,2018-12-07,蓮舫,全国,比例区,ok,wikipedia,
世耕弘成,せこうひろしげ,参議院,自由民主党・国民の声,経済産業大臣・内閣府特命担当大臣（原子力損害賠償・廃炉等支援機構）,13,2016-10-14,2019-05-16,世耕弘成,,,no_district,,
金村龍那,かねむらりゅうな,衆議院,日本維新の会,,12,2023-04-24,2024-12-18,金村龍那,全国,比例区,ok,wikipedia,
和田政宗,わだまさむね,参議院,自由民主党,,12,2014-04-28,2024-06-06,和田政宗,全国,比例区,ok,wikipedia,
坂本哲志,さかもとてつし,参議院,自由民主党・無所属の会,農林水産大臣,12,2021-04-06,2024-05-30,坂本哲志,熊本県,第3区,ok,wikipedia,
青柳陽一郎,あおやぎよういちろう,衆議院,立憲民主党・無所属,,12,2016-04-26,2024-02-28,青柳陽一郎,神奈川6区,,ok,wikipedia,
櫻井周,さくらいしゅう,衆議院,立憲民主党・市民クラブ,,12,2018-11-14,2022-02-04,桜井周,兵庫県,第6区,ok,wikipedia,
小野田紀美,おのだきみ,参議院,自由民主党・国民の声,,12,2019-04-15,2024-05-21,小野田紀美,岡山県,,ok,wikipedia,
吉川元,よしかわはじめ,衆議院,社会民主党・市民連合,,12,2019-03-07,2020-03-06,吉川元,,,no_district,,
片山大介,かたやまだいすけ,参議院,日本維新の会・希望の党,,12,2018-11-07,2022-03-16,片山大介,兵庫県,,ok,wikipedia,
田畑一雄,,参議院,,厚生労働大臣官房審議官,12,2018-11-29,2019-04-24,田畑一雄,,,no_district,,
森ゆうこ,もりゆうこ,参議院,希望の会（自由・社民）,,12,2018-11-15,2020-03-26,森裕子,全国,比例区,ok,wikipedia,
中山峰孝,,衆議院,,厚生労働省大臣官房審議官,12,2014-11-05,2016-03-31,中山峰孝,,,no_district,,
石破茂,いしばしげる,衆議院,自由民主党,内閣府特命担当大臣（国家戦略特別区域）,12,2014-11-11,2016-05-19,石破茂,,,no_district,,
上月良祐,こうづきりょうすけ,参議院,自由民主党・こころ,農林水産大臣政務官,11,2017-06-06,2024-12-19,上月良祐,茨城県,,ok,wikipedia,
漆間譲司,うるまじょうじ,衆議院,日本維新の会・教育無償化を実現する会,,11,2022-11-09,2024-05-22,漆間譲司,大阪府,第8区,ok,wikipedia,
斎藤アレックス,さいとうあれっくす,衆議院,日本維新の会・教育無償化を実現する会,,11,2024-04-26,2024-05-17,斎藤アレックス,全国,比例区,ok,wikipedia,
森夏枝,もりなつえ,衆議院,日本維新の会,,11,2018-11-14,2020-05-27,森夏枝,全国,比例区,ok,wikipedia,
浜田聡,はまださとし,参議院,ＮＨＫから国民を守る党,,11,2020-02-19,2024-05-21,浜田聡,全国,比例区,ok,wikipedia,
山本和嘉子,やまもとわかこ,衆議院,立憲民主党・無所属フォーラム,,11,2019-03-22,2019-04-24,山本和嘉子,全国,比例区,ok,wikipedia,
河野太郎,こうのたろう,衆議院,自由民主党,外務大臣,11,2018-11-07,2022-11-01,河野太郎,,,no_district,,
後藤祐一,ごとうゆういち,衆議院,国民民主党・無所属クラブ,,11,2018-06-19,2020-02-06,後藤祐一,全国,比例区,ok,wikipedia,
古庄玄知,こしょうはるとも,参議院,自由民主党,,10,2024-05-28,2024-06-06,古庄玄知,大分県,,ok,wikipedia,
牧原秀樹,まきはらひでき,衆議院,自由民主党・無所属の会,,10,2019-06-26,2024-05-21,牧原秀樹,全国,比例区,ok,wikipedia,
山田美樹,やまだみき,衆議院,自由民主党・無所属の会,外務大臣政務官,10,2016-03-10,2024-04-24,山田美樹,東京1区,,ok,wikipedia,
山口俊一,やまぐちしゅんいち,衆議院,自由民主党・無所属の会,,10,2022-06-15,2024-06-21,山口俊一,徳島2区,,ok,wikipedia,
大塚耕平,おおつかこうへい,参議院,国民民主党・新緑風会,,10,2017-03-23,2023-10-26,大塚耕平,愛知県,,ok,wikipedia,
高橋光男,たかはしみつお,参議院,公明党,農林水産大臣政務官,10,2020-10-08,2024-05-09,高橋光男,兵庫県,,ok,wikipedia,
山本香苗,やまもとかなえ,参議院,公明党,厚生労働副大臣,10,2012-08-24,2020-07-02,山本香苗,全国,比例区,ok,wikipedia,
又市征治,またいちせいじ,参議院,立憲民主党・民友会・希望の会,,10,2014-06-05,2019-04-22,又市征治,全国,比例区,ok,wikipedia,
矢田わか子,やたわかこ,参議院,国民民主党・新緑風会,,10,2016-11-16,2019-04-15,矢田稚子,全国,比例区,ok,wikipedia,
増子輝彦,ましこてるひこ,参議院,国民民主党・新緑風会,,10,2019-04-09,2019-10-16,増子輝彦,福島県,,ok,wikipedia,
橋本岳,はしもとがく,参議院,自由民主党・無所属の会,厚生労働副大臣,10,2016-11-15,2020-04-06,橋本岳,岡山県,第4区,ok,wikipedia,
丸山和也,まるやまかずや,参議院,自由民主党,,10,2012-03-22,2016-11-15,丸山和也,全国,比例区,ok,wikipedia,
北神圭朗,きたがみけいろう,衆議院,有志の会,,10,2016-10-21,2024-05-10,北神圭朗,京都府,第4区,ok,wikipedia,
落合貴之,おちあいたかゆき,衆議院,立憲民主・国民・社保・無所属フォーラム,,10,2019-06-19,2024-04-26,落合貴之,全国,比例区,ok,wikipedia,
菅義偉,すがよしひで,参議院,自由民主党・無所属の会,内閣官房長官,10,2015-12-10,2021-06-01,菅義偉,,,no_district,,
馳浩,はせひろし,衆議院,自由民主党・無所属の会,,10,2019-05-22,2020-03-06,馳浩,石川1区,,ok,wikipedia,
小沼巧,おぬまたくみ,参議院,立憲民主・社民,,9,2020-05-12,2024-12-06,小沼巧,茨城県,,ok,wikipedia,
池下卓,いけしたたく,衆議院,日本維新の会・教育無償化を実現する会,,9,2024-03-27,2024-06-06,池下卓,大阪府,第10区,ok,wikipedia,
片山さつき,かたやまさつき,参議院,自由民主党,内閣府特命担当大臣（規制改革・地方創生・男女共同参画）,9,2014-05-15,2024-06-04,片山さつき,全国,比例区,ok,wikipedia,
田畑裕明,たばたひろあき,衆議院,自由民主党・無所属の会,,9,2019-04-24,2024-05-10,田畑裕明,全国,比例区,ok,wikipedia,
遠藤良太,えんどうりょうた,衆議院,日本維新の会,,9,2022-02-16,2024-05-08,遠藤良太,全国,比例区,ok,wikipedia,
三宅伸吾,みやけしんご,参議院,自由民主党,,9,2015-04-22,2023-05-22,三宅伸吾,香川県,,ok,wikipedia,
津村啓介,つむらけいすけ,衆議院,国民民主党・無所属クラブ,,9,2018-11-13,2021-06-11,津村啓介,全国,比例区,ok,wikipedia,
小林鷹之,こばやしたかゆき,衆議院,自由民主党・無所属の会,,9,2018-11-14,2021-04-21,小林鷹之,千葉県,第2区,ok,wikipedia,
茂木敏充,もてぎとしみつ,衆議院,自由民主党・無所属の会,外務大臣,9,2016-09-30,2021-06-01,茂木敏充,,,no_district,,
