speaker,speaker_yomi,canonical_house,canonical_party,canonical_position,n_speeches,first_date,last_date,wikipedia_title,district_prefecture,district_block,status,source,notes
本多平直,ほんだひらなお,衆議院,立憲民主・国民・社保・無所属フォーラム,,1,2020-02-04,2020-02-04,本多平直,全国,比例区,ok,wikipedia,
日吉雄太,ひよしゆうた,衆議院,立憲民主・国民・社保・無所属フォーラム,,1,2019-11-08,2019-11-08,日吉雄太,全国,比例区,ok,wikipedia,
島村大,しまむらだい,参議院,自由民主党・国民の声,,1,2019-05-07,2019-05-07,島村大,神奈川県,,ok,wikipedia,
平将明,たいらまさあき,衆議院,自由民主党,,1,2019-04-24,2019-04-24,平将明,東京4区,,ok,wikipedia,
うえの賢一郎,うえのけんいちろう,衆議院,自由民主党,財務副大臣,1,2019-02-27,2019-02-27,上野賢一郎,滋賀県,第2区,ok,wikipedia,
志位和夫,しいかずお,衆議院,日本共産党,,1,2019-01-31,2019-01-31,志位和夫,全国,比例区,ok,wikipedia,
もとむら賢太郎,もとむらけんたろう,衆議院,無所属の会,,1,2018-11-16,2018-11-16,もとむら賢太郎,,,no_district,,
今井絵理子,いまいえりこ,参議院,自由民主党・こころ,,1,2018-06-15,2018-06-15,今井絵理子,全国,比例区,ok,wikipedia,
福井照,ふくいてる,参議院,自由民主党,内閣府特命担当大臣（沖縄及び北方対策・消費者及び食品安全・海洋政策）,1,2018-06-01,2018-06-01,福井照,全国,比例区,ok,wikipedia,
谷畑孝,たにはたたかし,衆議院,日本維新の会,,1,2018-03-30,2018-03-30,谷畑孝,全国,比例区,ok,wikipedia,
丸川珠代,まるかわたまよ,参議院,自由民主党・こころ,,1,2018-03-01,2018-03-01,丸川珠代,東京都,第7区,ok,wikipedia,
小野寺五典,おのでらいつのり,参議院,自由民主党,防衛大臣,1,2018-01-31,2018-01-31,小野寺五典,宮城県,第5区,ok,wikipedia,
島津幸広,しまづゆきひろ,衆議院,日本共産党,,1,2017-05-16,2017-05-16,島津幸広,全国,比例区,ok,wikipedia,
長島昭久,ながしまあきひさ,衆議院,民進党・無所属クラブ,,1,2017-03-10,2017-03-10,長島昭久,東京30区,,ok,wikipedia,
近藤昭一,こんどうしょういち,衆議院,民進党・無所属クラブ,,1,2016-04-26,2016-04-26,近藤昭一,愛知3区,,ok,wikipedia,
浜田昌良,はまだまさよし,参議院,公明党,,1,2015-11-11,2015-11-11,浜田昌良,全国,比例区,ok,wikipedia,
